idnum,year,time,average_pay,average_pay_ln,wcouncil,wcouncil_f,wagree,wagree_f,sector,profit,profit_f,emp,empt,empw,firmsize,firmsize_f
33,2004,6,2900,7.9724660159745655,0,NoWC,0,NoSA,public,2,sufficient,85,0.035,0.412,2,less100
33,2005,7,2576.3253012048194,7.854119360775014,0,NoWC,0,NoSA,public,3,satisfactory,83,0.048,0.422,2,less100
33,2006,8,2710.105882352941,7.904742984089441,0,NoWC,0,NoSA,public,4,good,85,0.082,0.494,2,less100
33,2007,9,2424.938144329897,7.793561295553436,0,NoWC,0,NoSA,public,5,very good,97,0.113,0.412,2,less100
33,2008,10,2844.817073170732,7.953254046837969,0,NoWC,0,NoSA,public,5,very good,82,0.146,0.39,2,less100
33,2009,11,2777.0833333333335,7.929156495258909,0,NoWC,0,NoSA,public,4,good,84,0.155,0.345,2,less100
33,2010,12,3055.7176470588233,8.024769753039783,0,NoWC,0,NoSA,public,4,good,85,0.165,0.341,2,less100
33,2011,13,3044.2105263157896,8.020996877666207,0,NoWC,0,NoSA,public,4,good,95,0.284,0.495,2,less100
33,2012,14,3080.191919191919,8.032747185452292,0,NoWC,0,NoSA,public,2,sufficient,99,0.364,0.485,2,less100
33,2013,15,3019.3653846153848,8.012801950742354,0,NoWC,0,NoSA,public,2,sufficient,104,0.231,0.529,3,less250
33,2014,16,2925.190476190476,7.981114877610858,0,NoWC,0,NoSA,public,3,satisfactory,105,0.238,0.476,3,less250
33,2015,17,3306.542056074766,8.103658226245916,0,NoWC,0,NoSA,public,3,satisfactory,107,0.243,0.467,3,less250
33,2016,18,3931.6936936936936,8.276825577340889,0,NoWC,0,NoSA,public,3,satisfactory,111,0.243,0.459,3,less250
33,2017,19,3776.8285714285716,8.236639934186668,0,NoWC,0,NoSA,public,4,good,105,0.295,0.486,3,less250
33,2018,20,4013.9074074074074,8.29752046167802,0,NoWC,0,NoSA,public,3,satisfactory,108,0.333,0.454,3,less250
33,2019,21,3787.9906542056074,8.239590987092157,0,NoWC,0,NoSA,public,5,very good,107,0.439,0.467,3,less250
43,2007,9,744.7341772151899,6.6130273456009165,1,WC,1,SA,health,3,satisfactory,79,0.063,0.152,2,less100
43,2008,10,821.8571428571429,6.71156658780798,1,WC,1,SA,health,4,good,84,0.06,0.119,2,less100
43,2009,11,1095.72,6.999166960416249,1,WC,1,SA,health,5,very good,50,0.08,0.08,1,less50
62,2017,19,1852.2985074626865,7.524182583353201,1,WC,0,NoSA,construction,4,good,67,0.015,0.612,2,less100
62,2018,20,2328.719298245614,7.753073738037421,1,WC,0,NoSA,construction,4,good,57,0.018,0.632,2,less100
62,2020,22,3797.0555555555557,8.241981191558937,1,WC,0,NoSA,construction,5,very good,54,0.019,0.685,2,less100
72,2009,11,1597.2222222222222,7.376021288329332,0,NoWC,0,NoSA,buservices,4,good,216,0.028,0.421,3,less250
72,2010,12,1144.2114537444934,7.042470992048697,0,NoWC,0,NoSA,buservices,2,sufficient,227,0.044,0.374,3,less250
72,2011,13,1220.253164556962,7.106813628131616,0,NoWC,0,NoSA,buservices,3,satisfactory,237,0.046,0.662,3,less250
72,2012,14,1338.4615384615386,7.199276127741084,0,NoWC,0,NoSA,buservices,3,satisfactory,247,0.049,0.372,3,less250
83,2007,9,3796.90625,8.241941869381819,1,WC,0,NoSA,manufacturing,1,unsatisfactory,32,0.125,0.344,1,less50
83,2009,11,3228.3055555555557,8.079712682764947,1,WC,0,NoSA,manufacturing,3,satisfactory,36,0.25,0.333,1,less50
83,2010,12,2709.051282051282,7.904353772157409,1,WC,0,NoSA,manufacturing,3,satisfactory,39,0.231,0.308,1,less50
83,2011,13,3283.810810810811,8.09675985953732,1,WC,0,NoSA,manufacturing,3,satisfactory,37,0.243,0.324,1,less50
83,2012,14,2855.4864864864867,7.956997505642831,1,WC,0,NoSA,manufacturing,3,satisfactory,37,0.135,0.324,1,less50
83,2013,15,2656.4285714285716,7.884737857303858,1,WC,0,NoSA,manufacturing,4,good,35,0.171,0.314,1,less50
83,2014,16,1668.2105263157894,7.419506789771892,1,WC,0,NoSA,manufacturing,4,good,38,0.184,0.263,1,less50
83,2015,17,2335.5,7.755981279942163,1,WC,0,NoSA,manufacturing,4,good,38,0.158,0.263,1,less50
83,2016,18,2377.2,7.773678603492505,1,WC,0,NoSA,manufacturing,4,good,40,0.125,0.25,1,less50
